question,answer,intent,page_link
"What is the enrollment procedure at ISET?|Quelle est la procédure d'inscription à l'ISET ?","Enroll by submitting your application online, paying the registration fee (approx. 200 TND), and attending an orientation session. The process starts in June for the fall semester. Follow the steps on our 'Academic Life' page.|Inscrivez-vous en soumettant votre candidature en ligne, en payant les frais d'inscription (environ 200 TND) et en participant à une session d'orientation. Le processus commence en juin pour le semestre d'automne. Suivez les étapes sur notre page 'Vie universitaire'.","enrollment","https://isetsf.rnu.tn/fr/vie-universitaire/scolarite/procedure-d-inscription"
"How can I request a transfer to ISET?|Comment puis-je demander une mutation vers l'ISET ?","Submit a transfer request with your academic records and a motivation letter by May 31 for the next academic year. Transfers depend on program availability. Visit our page for the procedure.|Soumettez une demande de mutation avec vos relevés académiques et une lettre de motivation avant le 31 mai pour l'année académique suivante. Les mutations dépendent de la disponibilité des programmes. Visitez notre page pour la procédure.","transfer","https://isetsf.rnu.tn/fr/vie-universitaire/scolarite/procedure-de-mutation"
"How can I request a program reorientation?|Comment puis-je demander une réorientation de programme ?","Reorientation requests are submitted via the student portal by the end of the first semester, with a justification letter. Approval depends on academic performance. Learn more on our website.|Les demandes de réorientation sont soumises via le portail étudiant avant la fin du premier semestre, avec une lettre de justification. L'approbation dépend des performances académiques. En savoir plus sur notre site.","reorientation","https://isetsf.rnu.tn/fr/vie-universitaire/scolarite/procedure-reorientation"
"How do I withdraw my enrollment?|Comment retirer mon inscription ?","Submit a withdrawal form via the student portal or in person at the registrar’s office. Refunds, if applicable, follow our fee policy. Check the process on our 'Academic Life' page.|Soumettez un formulaire de retrait via le portail étudiant ou en personne au bureau du registraire. Les remboursements, si applicables, suivent notre politique de frais. Vérifiez le processus sur notre page 'Vie universitaire'.","withdrawal","https://isetsf.rnu.tn/fr/vie-universitaire/scolarite/procedure-de-retrait-d-inscription"
"How can I obtain my diploma?|Comment obtenir mon diplôme ?","After completing your program, request your diploma at the registrar’s office with proof of completion. Processing takes 2-4 weeks. Visit our page for the procedure.|Après avoir terminé votre programme, demandez votre diplôme au bureau du registraire avec une preuve d'achèvement. Le traitement prend 2 à 4 semaines. Visitez notre page pour la procédure.","diploma","https://isetsf.rnu.tn/fr/vie-universitaire/scolarite/procedure-d-obtention-des-diplomes"
"How do I request academic certificates?|Comment demander des attestations académiques ?","Request certificates like transcripts or enrollment proof via the student portal or registrar’s office. Fees may apply (approx. 10 TND). Learn more online.|Demandez des attestations comme des relevés de notes ou une preuve d'inscription via le portail étudiant ou le bureau du registraire. Des frais peuvent s'appliquer (environ 10 TND). En savoir plus en ligne.","certificates","https://isetsf.rnu.tn/fr/vie-universitaire/scolarite/demande-d-attestations"
"How do I request special academic conditions?|Comment demander des conditions académiques spécifiques ?","Special conditions, like accommodations for disabilities, are requested via a form with supporting documents. Contact the registrar for assistance. Visit our page for details.|Les conditions spécifiques, comme des aménagements pour les handicaps, sont demandées via un formulaire avec des documents justificatifs. Contactez le registraire pour de l'aide. Visitez notre page pour plus de détails.","special_conditions","https://isetsf.rnu.tn/fr/vie-universitaire/scolarite/demande-de-condition-specifique"
"What are initiation internships at ISET?|Que sont les stages d'initiation à l'ISET ?","Initiation internships, typically in the first year, introduce students to workplace environments over 4-6 weeks. Recent internships were with local IT firms. Learn more on our website.|Les stages d'initiation, généralement en première année, introduisent les étudiants aux environnements professionnels sur 4 à 6 semaines. Les stages récents étaient avec des entreprises informatiques locales. En savoir plus sur notre site.","initiation_internships","https://isetsf.rnu.tn/fr/vie-universitaire/stages/initiation"
"What are advanced internships at ISET?|Que sont les stages de perfectionnement à l'ISET ?","Advanced internships, in the second or third year, focus on skill development over 8-12 weeks, often in engineering or management roles. Visit our page for details.|Les stages de perfectionnement, en deuxième ou troisième année, se concentrent sur le développement des compétences sur 8 à 12 semaines, souvent dans des rôles d'ingénierie ou de gestion. Visitez notre page pour plus de détails.","advanced_internships","https://isetsf.rnu.tn/fr/vie-universitaire/stages/perfectionnement"
"What are final-year internships at ISET?|Que sont les stages de fin d'études à l'ISET ?","Final-year internships, lasting 3-6 months, involve capstone projects with companies, preparing students for careers. Recent projects included AI applications. Learn more online.|Les stages de fin d'études, d'une durée de 3 à 6 mois, impliquent des projets de fin d'études avec des entreprises, préparant les étudiants à leur carrière. Les projets récents incluaient des applications d'IA. En savoir plus en ligne.","final_internships","https://isetsf.rnu.tn/fr/vie-universitaire/stages/fin-detudes"
"What Microsoft certifications are offered at ISET?|Quelles certifications Microsoft sont proposées à l'ISET ?","We offer Microsoft certifications like Azure Administrator and Microsoft 365 Fundamentals, taught through workshops and exams. Visit our page for the full list and schedules.|Nous proposons des certifications Microsoft comme Azure Administrator et Microsoft 365 Fundamentals, enseignées via des ateliers et examens. Visitez notre page pour la liste complète et les horaires.","microsoft_certifications","https://isetsf.rnu.tn/fr/vie-universitaire/formations-certifiantes/microsoft"
"What SolidWorks certifications are offered at ISET?|Quelles certifications SolidWorks sont proposées à l'ISET ?","SolidWorks certifications, like CSWA and CSWP, train students in 3D CAD design for engineering. Courses run each semester. Learn more on our website.|Les certifications SolidWorks, comme CSWA et CSWP, forment les étudiants à la conception 3D CAO pour l'ingénierie. Les cours sont proposés chaque semestre. En savoir plus sur notre site.","solidworks_certifications","https://isetsf.rnu.tn/fr/vie-universitaire/formations-certifiantes/solidworks"
"What student clubs are available at ISET?|Quels clubs étudiants sont disponibles à l'ISET ?","Our 10+ student clubs cover tech, culture, and sports, including Robotics and French Clubs. They host events like coding competitions and cultural nights. Explore the list on our website.|Nos plus de 10 clubs étudiants couvrent la technologie, la culture et le sport, incluant les clubs de Robotique et de Français. Ils organisent des événements comme des compétitions de codage et des soirées culturelles. Découvrez la liste sur notre site.","student_clubs","https://isetsf.rnu.tn/fr/vie-universitaire/clubs-"
"What is the Microsoft Tech Club at ISET Sfax?|Qu'est-ce que le Microsoft Tech Club à l'ISET Sfax ?","The Microsoft Tech Club organizes hackathons, workshops, and tech talks, focusing on Azure and AI. Recent events included a 2025 AI Challenge. Learn more online.|Le Microsoft Tech Club organise des hackathons, ateliers et conférences technologiques, axés sur Azure et l'IA. Les événements récents incluent un Défi IA 2025. En savoir plus en ligne.","microsoft_tech_club","https://isetsf.rnu.tn/fr/article/639/microsoft-tech-club-iset-sfax"
"What is the .NET Club at ISET?|Qu'est-ce que le Club .NET à l'ISET ?","The .NET Club teaches C# and .NET development through coding bootcamps and projects, like building web apps. It’s open to all students. Visit our page for details.|Le Club .NET enseigne le développement C# et .NET à travers des bootcamps de codage et des projets, comme la création d'applications web. Il est ouvert à tous les étudiants. Visitez notre page pour plus de détails.","dotnet_club","https://isetsf.rnu.tn/fr/article/577/club-dotnet"
"What is the Robotics Club at ISET Sfax?|Qu'est-ce que le Club de Robotique à l'ISET Sfax ?","The Robotics Club builds and competes with robots, hosting events like the 2025 RoboRace. It’s ideal for engineering students. Learn more online.|Le Club de Robotique construit et concourt avec des robots, organisant des événements comme le RoboRace 2025. Il est idéal pour les étudiants en ingénierie. En savoir plus en ligne.","robotics_club","https://isetsf.rnu.tn/fr/article/576/club-robotique-iset-sfax"
"What is the French Club at ISET?|Qu'est-ce que le Club de Français à l'ISET ?","The French Club promotes French language and culture through film screenings, debates, and exchange programs with French universities. Visit our page for activities.|Le Club de Français promeut la langue et la culture françaises à travers des projections de films, des débats et des programmes d'échange avec des universités françaises. Visitez notre page pour les activités.","french_club","https://isetsf.rnu.tn/fr/article/575/le-club-de-francais"
"What is the Future Graduate Club at ISET?|Qu'est-ce que le Club Futur Licencié à l'ISET ?","The Future Graduate Club offers career workshops, mock interviews, and networking events to prepare students for graduation. Recent sessions included CV reviews. Learn more on our website.|Le Club Futur Licencié propose des ateliers de carrière, des simulations d'entretiens et des événements de réseautage pour préparer les étudiants à l'obtention de leur diplôme. Les sessions récentes incluaient des révisions de CV. En savoir plus sur notre site.","future_graduate_club","https://isetsf.rnu.tn/fr/article/574/club-futur-licencier"
"What is the Technology Club at ISET Sfax?|Qu'est-ce que le Club de Technologie à l'ISET Sfax ?","The Technology Club (CTIS) explores emerging tech like blockchain and IoT through seminars and projects. It hosted a 2025 Tech Expo. Visit our page for details.|Le Club de Technologie (CTIS) explore les technologies émergentes comme la blockchain et l'IoT à travers des séminaires et projets. Il a organisé une Expo Tech 2025. Visitez notre page pour plus de détails.","technology_club","https://isetsf.rnu.tn/fr/article/573/club-de-technologie-a-liset-de-sfax-ctis"
"What sports activities are available at ISET?|Quelles activités sportives sont disponibles à l'ISET ?","We offer soccer, basketball, and table tennis, with annual tournaments like the ISET Sports Day in May. Facilities include a gym and fields. Learn more on our 'Sports' page.|Nous proposons du football, du basketball et du tennis de table, avec des tournois annuels comme la Journée Sportive de l'ISET en mai. Les installations incluent une salle de sport et des terrains. En savoir plus sur notre page 'Activités sportives'.","sports","https://isetsf.rnu.tn/fr/vie-universitaire/activite-sportive"
"What cultural activities are offered at ISET?|Quelles activités culturelles sont proposées à l'ISET ?","Cultural activities include theater, music festivals, and art exhibitions, like the 2025 ISET Cultural Week. Students can join organizing committees. Visit our page for upcoming events.|Les activités culturelles incluent le théâtre, les festivals de musique et les expositions d'art, comme la Semaine Culturelle de l'ISET 2025. Les étudiants peuvent rejoindre les comités d'organisation. Visitez notre page pour les événements à venir.","cultural_activities","https://isetsf.rnu.tn/fr/vie-universitaire/activites-culturelles"
"What student events are organized at ISET?|Quels événements étudiants sont organisés à l'ISET ?","Student events range from tech hackathons to charity drives and gala nights, like the 2025 Student Fest. Check our page for the event calendar and how to participate.|Les événements étudiants vont des hackathons technologiques aux collectes de fonds caritatives et soirées de gala, comme le Fest Étudiant 2025. Consultez notre page pour le calendrier des événements et comment participer.","student_events","https://isetsf.rnu.tn/fr/vie-universitaire/manifestations-estudiantines"
"What resources does the ISET library offer?|Quelles ressources offre la bibliothèque de l'ISET ?","Our library provides 10,000+ books, e-journals, and databases like IEEE Xplore, plus study spaces. It’s open 8 AM-6 PM weekdays. Visit our page for online access details.|Notre bibliothèque propose plus de 10 000 livres, des revues électroniques et des bases de données comme IEEE Xplore, ainsi que des espaces d'étude. Elle est ouverte de 8h à 18h en semaine. Visitez notre page pour les détails d'accès en ligne.","library","https://isetsf.rnu.tn/fr/vie-universitaire/bibliotheque"
"What is the Listening Cell at ISET?|Qu'est-ce que la Cellule d'Écoute à l'ISET ?","The Listening Cell offers confidential counseling for academic or personal issues, staffed by trained psychologists. Appointments are available via email. Learn more on our website.|La Cellule d'Écoute offre des conseils confidentiels pour les problèmes académiques ou personnels, avec des psychologues formés. Les rendez-vous sont disponibles par e-mail. En savoir plus sur notre site.","listening_cell","https://isetsf.rnu.tn/fr/vie-universitaire/cellule-decoute"
"How does ISET support student entrepreneurs?|Comment l'ISET soutient-il les étudiants entrepreneurs ?","Our 4C Center provides mentorship, startup workshops, and funding pitches for student entrepreneurs. Recent successes include a student-led logistics app. Visit our page for details.|Notre Centre 4C offre du mentorat, des ateliers de startup et des pitches de financement pour les étudiants entrepreneurs. Parmi les succès récents, une application logistique dirigée par des étudiants. Visitez notre page pour plus de détails.","student_entrepreneur","https://isetsf.rnu.tn/fr/vie-universitaire/etudiant-entrepreneur"
"What is the 4C Center at ISET?|Qu'est-ce que le Centre 4C à l'ISET ?","The 4C Center (Career, Competencies, Certifications, and Creativity) supports students with career services, certifications, and innovation labs. It hosts 50+ events annually. Learn more on our website.|Le Centre 4C (Carrière, Compétences, Certifications et Créativité) soutient les étudiants avec des services de carrière, des certifications et des laboratoires d'innovation. Il organise plus de 50 événements par an. En savoir plus sur notre site.","4c_center","https://isetsf.rnu.tn/fr/centre-4c/presentation"
"What certifications does the 4C Center offer?|Quelles certifications propose le Centre 4C ?","The 4C Center offers certifications in project management (PMP), Cisco networking, and more, with flexible schedules. Visit our page for the full catalog and registration.|Le Centre 4C propose des certifications en gestion de projet (PMP), réseaux Cisco, et plus, avec des horaires flexibles. Visitez notre page pour le catalogue complet et l'inscription.","4c_certifications","https://isetsf.rnu.tn/fr/centre-4c/formations-certifiantes"
"What is the activity plan of the 4C Center?|Quel est le plan d'activités du Centre 4C ?","The 4C Center’s 2025 plan includes job fairs, coding bootcamps, and entrepreneurship seminars, with events every month. Check the schedule online for registration details.|Le plan 2025 du Centre 4C inclut des salons de l'emploi, des bootcamps de codage et des séminaires d'entrepreneuriat, avec des événements chaque mois. Consultez le calendrier en ligne pour les détails d'inscription.","4c_activity_plan","https://isetsf.rnu.tn/fr/centre-4c/plan-dactivites"
"How does the 4C Center support student entrepreneurs?|Comment le Centre 4C soutient-il les étudiants entrepreneurs ?","The 4C Center offers incubation programs, pitch competitions, and access to investors for student startups. Recent winners secured seed funding. Visit our page for details.|Le Centre 4C propose des programmes d'incubation, des compétitions de pitch et un accès aux investisseurs pour les startups étudiantes. Les récents gagnants ont obtenu un financement initial. Visitez notre page pour plus de détails.","4c_entrepreneur","https://isetsf.rnu.tn/fr/centre-4c/etudiant-entrepreneur"
"How do I log in to the ISET portal?|Comment me connecter au portail ISET ?","Use your student ID and password to log in to the ISET portal for course registration and grades. New students receive credentials during orientation. Visit our login page for help.|Utilisez votre identifiant étudiant et votre mot de passe pour vous connecter au portail ISET pour l'inscription aux cours et les notes. Les nouveaux étudiants reçoivent leurs identifiants lors de l'orientation. Visitez notre page de connexion pour de l'aide.","login","https://isetsf.rnu.tn/fr/login"
"What do I do if I forgot my ISET portal password?|Que faire si j'ai oublié mon mot de passe du portail ISET ?","Click 'Forgot Password' on the login page, enter your student email, and follow the reset link sent within minutes. Contact IT support if issues persist. Visit our page for assistance.|Cliquez sur 'Mot de passe oublié' sur la page de connexion, entrez votre e-mail étudiant et suivez le lien de réinitialisation envoyé en quelques minutes. Contactez le support informatique en cas de problèmes persistants. Visitez notre page pour de l'aide.","forgot_password","https://isetsf.rnu.tn/fr/forgot-password",
"What is machine learning?|Qu'est-ce que le machine learning ?","Machine learning (ou apprentissage automatique) est une branche de l'intelligence artificielle qui permet aux ordinateurs d'apprendre à partir de données sans être explicitement programmés. Il est utilisé dans de nombreux domaines comme la reconnaissance vocale, la vision par ordinateur, ou encore les systèmes de recommandation.|Machine learning is a field of artificial intelligence that allows computers to learn from data without being explicitly programmed. It's used in areas like voice recognition, computer vision, and recommendation systems.","machine_learning","https://fr.wikipedia.org/wiki/Apprentissage_automatique"

